id,name_ko,name_en,description,ingredients,category,spicy_level,image_url
86,보말죽,Top Shell Rice Porridge,"This dish is made with rice soaked in water and top shells sautéed in sesame oil and it is simmered until thick. Bomal is the Jeju Island dialect word for ""top shell."" Top shell intestines can be added and boiled together to make the dish more flavorful.",,죽 [Juk],,
87,삼계죽,Ginseng and Chicken Porridge,"This dish is made with glutinous rice and ground non-glutinous rice boiled in chicken broth. Chicken is added later and brought to a boil. After cooking, it is sprinkled with minced chive and served in a bowl with dates, ginseng, powdered sesame, and crushed seaweed as toppings.",,죽 [Juk],,
88,소고기미역죽,Beef and Brown Seaweed Rice Porridge,"This dish is made by sautéing water-soaked rice in sesame oil. Seasoned seaweed, beef, and plenty of water are added before letting it simmer. This dish is nutritious and has a smooth texture.",,죽 [Juk],,
89,소고기버섯죽,Beef and Mushroom Porridge,"For this dish, stir-fry chopped beef and mushroom that have been marinated in soy sauce and simmer with presoaked rice and broth. This is a highly nutritious dish that is ideal for babies and children as well as adults.",,죽 [Juk],,
90,어죽,Fish Porridge,"Boiled and seived freshwater fish seasoned with red chili powder and gochujang (red chili paste) and boiled with presoaked short grain rice in water. While the soup is boiling, noodles or pieces of hand-torn flour dough are added. The soup is topped with chopped, strong-scented vegetables in order to remove the fishy smell. ",,죽 [Juk],,
91,잣죽,Pine Nut Porridge,Rice and pine nuts are puréed and simmered until thick. The nutty aroma and velvety texture make it a wonderful appetizer or recovery food.,,죽 [Juk],,
92,전복내장죽,Abalone Intestine Porridge,"Abalone intestines and presoaked rice pan-fried in a pot greased with sesame oil and boiled in water until the rice becomes transparent. Characterized by its subtle green color, this porridge has a unique savory taste.  ",,죽 [Juk],,
93,전복죽,Abalone Porridge,A nourishing porridge made with rice soaked in water and minced abalone sautéed in sesame oil and simmered until thick. Well-loved for the chewy texture of the abalone and the subtle flavor that envelopes the palate. It used to be a popular royal court dish.,,죽 [Juk],,
94,참치죽,Tuna Porriddge,"Stir-fry chopped onion, carrot, and squash in a pan greased with sesame oil and then add presoaked rice and water and bring to a boil. Add drained tuna and simmer on low heat. The use of canned tuna makes this dish particularly easy to prepare.",,죽 [Juk],,
95,채소죽,Vegetable Porridge,"This dish consists of rice boiled with a variety of vegetables, such as radish, carrot, spinach,horseradish, water parsley, and curled mallow. Also, tuna, chicken, abalone, broccoli, and other ingredients can be added according to one’s preference.",,죽 [Juk],,
96,팥죽,Red Bean Porridge,"Some traditional Korean beliefs say that patjuk (red bean porridge) thrown on the gate of one's home on the winter solstice drives out evil spirits. It is a rice porridge made with boiled red beans and rice. Rice is simmered in the liquid strained from the boiled red beans, and small glutinous rice balls are sometimes added. The porridge is seasoned with salt and/or sugar at the table.",,죽 [Juk],,
97,해물죽,Seafood Porridge,"This nutritious dish is made by stir-frying mussels, clams, chopped octopus, oysters, and other seafood with sesame oil in a pot and simmering with chopped vegetables and presoaked white grain rice in broth. ",,죽 [Juk],,
98,호박죽,Pumpkin Porridge,"A smooth porridge made with mashed pumpkin flesh, with the seeds removed, and sweet rice powder or rice balls. Red beans, black beans, or corn may be added.",,죽 [Juk],,
99,흑임자죽 ,Black Sesame Porridge,"Porridge made from finely ground black sesame and rice, resulting in a bittersweet, nutty flavor. Black sesame contains a high concentration of digestive enzymes, which help maintain liver and kidney health, making it ideal for people recovering from illness.",,죽 [Juk],,
100,감자수제비,Hand-pulled Potato Dough Soup,"To prepare this dish, grated raw potato is mixed with potato starch and flour and then formedinto a dough, hand-torn, and dropped into boiling anchovy stock. Sliced or julienned squash is then added, along with onion, and boiled with a beaten egg.",,면 [Myeon],,
101,감자옹심이,Potato Ball Soup,"This is a local specialty of Gangwon Province, where the local dialect uses the term ongsimi instead of the standard Korean saealsim (dough balls). It is made by grating potatoes and wringing them in a cloth to remove any excess water. Saealsim balls are then formed and boiled with julienned squash and onion in anchovy broth.",,면 [Myeon],,
102,검정콩국수,Noodles in Cold Black Soybean Soup,"Made with boiled and puréed black beans, this soup is a summer staple that is served with ice and yeolmukimchi (young summer radish kimchi) on the side.",,면 [Myeon],,
103,고기국수,Pork Noodles,"Noodles served in soup made by simmering pork bones until a cloudy broth forms. A local specialty of Jeju Island, this noodle dish is eaten on special occasions.",,면 [Myeon],,
104,골뱅이소면,Spicy Sea Snail Salad with Noodles,Sea snails and vegetables mixed with a sweet and sour gochujang (red chili paste) sauce and served with noodles. The noodles are mixed with the other ingredients at the table and the dish is a popular accompaniment to alcoholic beverages.,,면 [Myeon],,
105,곰국시,Beef Noodles,Noodles served in warm soup made with beef brisket and bones simmered for a long period of time. This thick beef soup is an energy-boosting meal that is effective in relieving fatigue and slowing aging.,,면 [Myeon],,
106,김치말이국수,Kimchi Noodles,"This is a noodle dish made with chilled dongchimi soup, yeolmu kimchi soup, or kimchi soup mixed with beef stock and topped with seasoned and browned beef or chicken.",,면 [Myeon],,
107,냉메밀국수,Cold Buckwheat Noodles ,"A winter delicacy, this buckwheat noodle dish is served in a cold chicken- or beef-based broth and topped with cold slices of beef and egg as a garnish.",,면 [Myeon],,
108,느른국,Buckwheat Noodle Soup,This is knifecut buckwheat noodles made by adding a mixture of buckwheat flour and cold water to boiling broth. Buckwheat Noodle Soup is seasoned with only doenjang and served with gat-kimchi (leaf mustard kimchi).,,면 [Myeon],,
109,닭칼국수,Noodle Soup with Chicken,"This dish is prepared by boiling noodles in chicken broth and is served with a topping of seasoned chicken. The thick and savory chicken broth makes this summer delicacy an ideal energy-boosting dish, comparable to samgyetang (ginseng chicken soup).",,면 [Myeon],,
110,동치미물냉면,Cold Buckwheat Noodles with Radish Water Kimchi,Buckwheat noodles served in broth made with cold radish water kimchi and meat stock. The well-fermented radish water kimchi has a refreshing and savory taste.,,면 [Myeon],,
111,들깨수제비,Hand-pulled Dough in Perilla Seed Soup,This delicacy is prepared by boiling hand-torn flour dough in chicken or anchovy broth with perilla seed paste. The savory taste of the perilla seeds is a perfect match for the chewy texture of the hand-torn dough.,,면 [Myeon],,
112,들깨칼국수,Noodle Soup with Perilla Seeds,This knife-cut noodle dish is made by boiling noodles in chicken or anchovy broth with perilla seed paste and is served with toppings of zucchini and shiitake mushroom. The savory taste of the perilla seeds stimulates appetite.,,면 [Myeon],,
113,떡국,Sliced Rice Cake Soup,"Oval-shaped rice cake cooked in broth. A traditional Lunar New Year dish. Clear beef broth is most commonly used, but chicken or seafood may be added.",,면 [Myeon],,
114,막국수,Buckwheat Noodles,"A local specialty of Gangwon Province, Makguksu (buckwheat noodles) is made of buckwheat noodles in a kimchi soup. Gangwon Province is famous for its buckwheat noodle dishes, as it is a highland region with an environment ideal for growing buckwheat.",,면 [Myeon],,
